sentiment,review_body,product_category
0,This top is very nice. good quality  good design. it just doesn't fit me well. i have a large chest and this is a tad fitted at the top  especially around my shoulders  while the lower half fits due to the pleats. the fit seems inconsistent at the top and bottom. i am full-figured  perhaps it would fit a leaner person better.,Blouses
0,The top is really cute  but it's see through and the material doesn't seem like the highest quality. definitely not worth the price.,Blouses
0,I really like the style of this top  and it's delicate but well made  but i wish it were longer and less boxy. it's nice that it comes with a separate cami to layer  but the cami is very cropped. when i raise my arms you can see a lot of midriff (and the top is see through so a layer underneath is necessary). a longer cami probably wouldn't work because the top is also very short. i'm 5'0'' with an average torso length  and ordered the xxs petite. also  you would have to cut the tag off if you d,Blouses
0,The shirt was cute. i'm very petite and it ran very wide so didn't fit me well.,Blouses
0,"I'm still on the fence with this shirt. i have the grey - it almost looks like a cheetah design up close. i'm 5'3""",Blouses
0,"This top is super cute  however the bottom hem is all frayed....couldn't really tell that from the pictures. the ""flutter"" sleeves are too big...looks funny with the fraying...runs a little large as well. loved the color! perfect with white denim!",Blouses
1,I bought this shirt in the black cat print. the material is very soft and it has a nice drape. i wear a size 32dd and worried that the size zero may be too small across the bust but it fits perfectly. i am 5 feet tall with a petite frame. the front of the shirt falls a few inches below my waistline and the back of the shirt is longer and provides plenty of coverage so it can be worn with skinny jeans. i can also wear this to work with a pair of slacks and it looks nice. i would actually love to,Blouses
1,I've got a bit of a love/hate relationship with this top. the fabric feels a little odd and wrinkles crazy hard  and i'm not a fan of the open ladder ribbon over the bust (really? who needs to see the top of my bra?). but i love love love the overall fit  the details (like the polka dot trim and the sheer tucks) and the color (blue green). it looks good tucked in or loose  and i can layer it under cardigans and jackets. i'll get a matching ribbon and sew it in under the ladder ribbon so it's act,Blouses
1,This top is very feminie  i love hte pelats and flower details. it can be  however  a bit boxy  i think if you have wider hips  i might avoid. great to go with skinny pants/ejans  though. could size down  if shoulders are not too wide...,Blouses
1,In the midst of the end-of-winter doldrums  i tried this cute top on. springy. powdery. happy. the lace is soft  not too stiff or scratchy  and lightweight enough to transition nicely into summer. because the cami is a separate piece  i also envision wearing this as a top over a slip-dress with some retro mary janes. the sleeve length makes it fair game for late winter  too. yay!,Blouses
1,"Stunning on  but mine was missing a button when i received it. i found a similar button and replaced it. still worth it  even though it arrived ""damaged""",Blouses
1,I wasn't immediately attracted to this shirt  but decided to try it on. i loved it on!  it is comfortable and very flattering. i'm a small person  and the length wasn't overbearing on me. it was full  but the stitching around the chest gives it shape and is flattering to a smaller chested person. i'm not sure how it works on a fuller person  but my guess is it may surprise you!,Blouses
1,When i saw this top online i loved it  and in person i love it even more! so perfect for spring/summer and i can see it even transitioning into fall. the sizing is perfect - i am a size 12/l in tops  and the size 12 i ordered is just right. it's loose but not too loose or frumpy looking. the fabric is slightly thin but that's perfect for the summer  but it would be cute layered with a cami or a cardigan when it's cooler. the only thing is  if you a little busty  the neckline might dip a tiny bit,Blouses
1,The blue is not see though at all and the length is perfect. so many tops now are on the longer side or have the high/low hems. this one is great....love it. kinda want the white one now!,Blouses
1,"I took a risk and bought this blouse and got a wonderful surprise. i bought my usual size small (34c  31"" waist) and it was perfect. the details of this blouse are amazing. you cannot see the flecks of copper-gold leaves all over the fabric or the gold threads running down the seam in the front. it is really  really beautiful. the fabric overall is soft and flowy and the sleeves do not stand out off my shoulders in a weird way. there is a soft flow of ruffle down both sides of the shirt. the fro",Blouses
-1,"I was so excited for this dress.. but sadly it did not meet expectations. the gauze fabric already had several snags/pullers in it. the underslip was very short and just cleared my derriere.(i'm 5'7"") i normally take a 10/12 and ordered this in a l.. it was somewhat clingy in the hip area but yet bulky on top. also  i like to have the first button open  but you could then see the v neck of the underslip and it looked hokey. it's definitely a thicker material than the previous plaid tunic holding",Dresses
-1,I should have heeded the previous reviewer's advice. but i'm really short so i thought i'd give it a try. there is something really wrong with the bust. first  it's about 3-4 inches higher than it should be. the bottom trim cut across the middle of my bust. even if i hoisted everthing up in there to fit the cups  they are really only designed to fit cones  not curves. from the side it looked hideous. too bad  because the fabric and fit everywhere else is gorgeous.,Dresses
-1,"I truly cannot understand the great reviews on this dress!  i purchased in both a sp and a mp.  i am 5'2"" 120#.  the mp fit perfectly.  i definitely wouldn't keep it though because it looks like someone sewed a bunch of old sweatshirts together.  it's not super soft  coarse on the inside  and feels old.  the back is longer than the front  it just looks like something my daughter would make in sewing class out of scraps.  even with leggings and great boots  it looks worn.",Dresses
-1,"Maybe it's my curves or the way i'm only 5'4"" but this was a hot mess on me! it is soooo long and cut to low for my 36d chest. it is slim and the cut usually is flattering but somehow this dress was anything but! it is really shiny and the material is heavier than anticipated for warm weather. if you are super tall and skinny with no boobs  go for it! had to send back!",Dresses
-1,I drooled over this dress online  so couldn't pass up trying it on at my local retailer store. while i loved the unique color in person  & the drape of the skirt (good quality  fully lines)  i was so disappointed with the top of this dress! it's very tight  ill-fitting  & just plain...weird. i can't imagine the fit of the top being flattering on anyone  regardless of chest size. it's a shame  because otherwise  the dress is adorable!,Dresses
-1,I was so excited to receive this jumpsuit as it looks so elegant and i love the lattice back. as soon as it arrived i set about unbuttoning it to try it on. 10 minutes and 2 broken fingernails later i got done. when i tried it on i found that it fit everywhere except the bust which was much too tight and i am not a busty person. so back it goes. even if it had fit  i do not think i could have handled the hassle of those buttons. why they didn't design it with a hidden zipper on the side and kept,Dresses
-1,I saw this dress in the catalog and immediately ran to the store to purchase. then i realized the dress in the catalog is slightly different  but the small differences is what makes the catalog dress so much more unique and worth the money! look at the top  the stripe colors are different. and the stripes flow different on the skirt part as well. and the dress was short on me and i'm two inches shorter than the model. bummer.,Dresses
-1,An awful dress! retailer why didn't you post my last review. i would not even give it a quarter of a star.,Dresses
-1,I really wanted to love this dress  but it just didn't fit in anyway. i ordered an xs petite  and it was very large. the lacing in the back is completely useless  and that's what i liked about the dress. i was thinking it would be unlaced more at the top (because of chest) and then lace more tightly near the waist. it was completely closed off and the dress was still very loose and unflattering. beautiful fabric  great color combo  bad fit.,Dresses
0,The dress is beautiful  i wanted to like it and could hardly wait to reveive it. it fits beautifully  and snug except around the arms where it is huge. i could only wear it with a tshirt underneat.,Dresses
0,I agree with some of the other reviewers; this dress runs very large. when i tried on the xs in my local store  i loved the color and thought i could work with it with the right bra or camisole  but it was just cut far too low in the front and when i tried it on at home  it was just too roomy and not fitted enough. i ordered both an xsp and an xxs today so we will see if they fit better. it is an adoreable design  cut and color. it just runs way big so size down if you decide to get it.,Dresses
0,This dress is the perfect combination of bohemian chic. however  the slip below the dress runs a tad bit small. i have a wide rib cage and normally wear between a 04-06. the dress would have been just perfect if the slip was a bit larger.,Dresses
0,So much about this dress is wonderful - the fabric is a nice weight  the color is gorgeous (i got this in the blue)  the length on the petite hits right above the knee. unfortunately  i got a 12p - my usual size in antho dresses - and the elastic waistband was on my boobs rather than under them. i've got a sizable bust (36g)  so this happens from time to time. i'm exchanging for a regular  which hopefully will have a little more room  but busty gals beware! at least it's not too low cut!,Dresses
0,This is a truly beautiful dress  and yes  so much better in person.  upon examining the dress  however  i saw some problems.  the embroidery above the waistline was loose in places  there were some frayed ends  and even some &#39;fuzzy&#39; spots where it looked like the stitching had rubbed against something.  the dress is over $250  and for that price i expect the embroidery to be top-notch.  returning and hope the replacement is in better shape.  if so  it will be a keeper!,Dresses
0,It's okay for a coverup or beach dress and lounging around the house. it's comfy and i like the detail of the back. the front is very plain but okay. it's not too baggy and it's a straight cut. the detail in the back makes it a keeper for me but only as a casual dress too chill at home or quick errands to grocery store.,Dresses
0,I purchased this dress in my usual petite size 2. it fit me quite well for the most part  a bit tight around the armpit area but the major issue for me was with the front of the dress. there was a weird pocket of extra fabric under my chest area (i'm small chested). also  the bow across the back did not cover my bra strap (below the bow) which made me think i needed to size up. i'm not sure if that would have fixed the weird fit in the front but i just decided to return the dress in the end. the,Dresses
0,"It's ok  fit doesn't wow me because of my body. chest is too wide  hips look too narrow. drapes across my back fat in an especially non-flattering way. basically made my square-apple body look more square-apple. great part about this dress is that it's comfy and hides the tummy pooch. construction is poorly done...contrasting liner at v-neck is rolling out on one side only and then doing the same at the hem contralaterally. another negative point is dry clean only. boo. i'm 5'3"" 140# 39-28-35 an",Dresses
0,I was looking forward to receiving this dress. i am tired of all of the swing dresses - most of which are not flattering on my petite frame. i am also uncomfortable with dresses that fall much above the knee as i am somewhat older. the colors and fabric of this dress are beautiful. vibrant  but not too bright. when i got it on i was thrilled with the fit - until i looked at the back. there are pleats at the waist in back and there is way too much fabric. it looked like i had a bustle under the d,Dresses
1,"I really love this dress! the fit is flattering and comfortable. the fabric has a pale art nouveau background  with indian and middle eastern prints over it. the beadwork does ""really pop "" and the whole is greater than the sum of its parts. for lovers of etro's bohemian style who don't want to spent thousands of dollars on a dress . . .",Dresses
1,"Now that i have this dress in my life i think my wardrobe is done.  there is nothing but love for this dress as it hits all the correct points:  great fit  flattering silhouette  comfortable fabric  shape enhancing cut  and the easiest casual style ever!  i got the 10p and my body is 5'3"" 140# 36dd",Dresses
1,Beautiful dress! i usually wear a size 4 regular  or a 6 petite (if the dress has sleeves). i ordered this in the 6p and it is too big. wish i could exchange it for a 4p  but it's no longer available.,Dresses
1,"Purchased in the blue polka dot and love it. am 5' 6 1/2""  155lbs  long arms. dress is meant to be full. i don't see the ""that is runs large"". the shoulders fit  the sleeves are not too long. it is a very cute dress. after receiving the dress  ordered it in the black motif and hope to like it just as much as the blue.",Dresses
1,"I fell in love with this dress when i saw it online and got it as soon as it went on sale 25% off. the colors are vibrant and the fit is perfect whether you have areas that you want to hide or not. it is true to size and i can see how you would want to size it down since it's baby doll shape  but it didn't work for me around the arm holes (and mine are not that big). i am 5'3"" and 120 lb and size 2 worked perfect.",Dresses
1,"This dress is as comfortable as it is adorable. i am 6'2"" and usually wear 12/14 but the 10 fit me. love  love  love this dress!!",Dresses
1,"This dress is absolutely gorgeous. the fabric is light and comfortable. the colors are even more vibrant in person. it has a keyhole opening in front  which might not be for everyone  but which i really liked. the only things i would caution buyers about  is that it is not lined  and for shorter buyers (i'm 5' 3"") it runs a bit long  so if you can pick up the petite  that might mean a better fit.",Dresses
1,The material feels nice and i love the flared arms.,Dresses
1,Love this dress. i wore it with black boots and got so many compliments super comfortable.  i feel like this dress will never go out style.,Dresses
-1,This sweater is a dull off white color. it looks old fashioned. don't get.,Fine gauge
-1,Got this in purple and love it! ordered red and silver and only received red so far  but had to return because it was oddly shaped and didn't fit well like the purple. not sure what happens. maybe miss sized?,Fine gauge
-1,I loved the style so i ordered on line. it runs small and the arm inserts are so low its awkward to wear. i wish the cut was better cause i love the look but not the fit. i am returning this item..,Fine gauge
-1,I also expected this sweater to have more bulk to it per the images. it is very thin as others have said. the design is awkward with the sleeve placement and that makes it more flowy vs. structured. it is more similar to a cape or shawl design. if you;'re looking for a warm cozy blanket sweater design  this is not it. i will keep it though as a layering piece and because of the sale price and classic color design.,Fine gauge
-1,Such a pretty fall sweater. nice fit. wore it once out shopping and it snagged :( had to return  sadly.,Fine gauge
-1,Loved the look of the sweater and the the fit was as shown.  however this is a thin cashmere for the price.  returned.,Fine gauge
-1,On me  this top is totally frumpy and boxy. i am 5'9  34dd and the bottom hung on me like a bedskirt. not fitted at all. i ordered a large--not being sure of fit. i have a flat stomach and it just hung....yuck. honestly  for the price and fit  i wouldn't consider a medium. i think it would a tad better but not worth the price.,Fine gauge
-1,"Wanted to love this sweater for its beautiful colors and cute graphic  but the fit is uncomfortably small and it is so itchy i was yelling  ""get it off"" in the fitting room. bummer.",Fine gauge
-1,I was sooo excited to buy this top and it was such a bummer. this top hangs so poorly and is so droopy under the arms. it's clearly poorly made and the sizing was way off on me. i ordered my usual medium and it was so large and wide that i had to return it. it weirdly fit perfectly in the shoulders and arm length as mediums do for me but was so wide and unflattering for my figure (5'8 and athletic). i really wanted to like this top and considered ordering a small to see if it would fit better bu,Fine gauge
0,Honestly  the sweater is really beautiful...i usually buy a small in retailer tops  and this seemed to run on the smaller side. it&#39;s pretty short  but the issue i have is that the sleeves are much shorter in person than on the models in the pictures. it looks like i&#39;m wearing a 3/4 sleeve shirt. still deciding if i&#39;m going to keep it  because it is really a lovely top.,Fine gauge
0,This sweater looks soft and flowy on the model  but in the store it is rather stiff lace in the back and very plain in the front. i did not like the ribbing on the front bottom of the sweater because it pulled in places and didn't lie flat. way too expensive for what you are getting.,Fine gauge
0,I put a lot of hopes on this pullover. i needed something for the spring  and it seemed perfect. plus  the sale price is very attractive compared to the regular retailer prices. but... i am not exactly disappointed  but i'd say surprised.     i would still consider this sweater good for spring. it's thin enough to be tucked into a skirt or pants if you like. the pullover is very stretchy - frankly  i would prefer it to be less stretchy  but that might be a plus for someone more busty. the quality,Fine gauge
0,I really like the color of this and the feel  but that is where it ends. it does not come with the gorgeous flattering belt that it is pictured with  and is cut without shape so it does not fit to your body and show off any glorious womanly curves. i could purchase the belt with it  but i don't prefer to purchase products that cannot stand on their own.,Fine gauge
0,"I love the pattern and style of this top. it is a flattering cut  however  it was way too short. i am 5'6"" and small usually fits me without issue. sadly enough i had to return it.",Fine gauge
0,I typically wear a size xl in retailer clothes. i'm a size 16 in tops and this sweater in xl fit really baggy with no form fitting. it's super soft and i love the color  but it was just unflattering on me.,Fine gauge
0,Loved the look  quality was great  but didn't work for me. too busy and off-fitting. i did return.,Fine gauge
0,I bought this sweater in dark grey in the store. i really loved it at first - it's very soft and cozy and fits really well. i especially like that it's long enough to cover my tummy and butt when i wear skinny jeans or leggings. however  the other reviews that mention it gets fuzz all over the place are accurate. i doubt i would have bought this if i had read them first. it even has dark grey fuzz in the inside of the sleeves. however  my biggest disappointment is that after just one wearing  th,Fine gauge
0,Sooooo soft! not a ton of shape but very versitile and warm!,Fine gauge
1,Love this sweater! i almost passed it up on-line because i didn't notice the snails. the sweater is navy and the snails are black. they are so cute and such a fun and unique little accent. the material is a moderate to light-weight sweater. the length was perfect. i have inadvertently purchased a bunch of cropped sweaters this year - this one is not cropped - yay!! the sleeves are actually a bit on the long side. i sized up a little with the idea of wearing it over long sleeved tops. i am typica,Fine gauge
1,I found this pretty sweater to run true to size. i am between a size large and extra large and the large fit well. it is perfect in the shoulders and body skimming without being too flared at the hem. the lavender is a dreamy light sky blue  true to what my monitor shows. i rarely wear anything but black and gray  but i could not resist this color. the sweater is a medium weight and i anticipate wearing this at the beach with white jeans and now with pale gray narrow wool pants. i really like th,Fine gauge
1,Unlike the first three reviews  i loved this sweater. the colors were beautiful and i paired it with green cords. i did not find the sweater to be itchy but very comfortable. fits trus to size.,Fine gauge
1,Classic and stylish. trendy with the blocking...rich colors  soft and comfy. i typically wear s and s was perfect. i love this sweater.,Fine gauge
1,Couldn't resist the polka dots! very cute and stylish cardi. since i'm short waisted this cropped style is perfect for me. i tried on the xs and small and while there wasn't a huge difference i went with the small since it had a bit more room. it's pricey so i waited for a sale to purchase!,Fine gauge
1,This top looks as pictured on the model. the color is great and true to the pictures with the light faded spots  which i really like and make it more interesting. however  i am on the fence about keeping it due to the itchiness of the fabric. the itching is mainly on the arm holes as it is tight to the skin. i wanted this top for when i'm feeling a comfy casual look. however  i'm not sure how comfy i'll be if i'm itching. i may over look the scratchy fabric as the color and fit of the top are gr,Fine gauge
1,Such a gorgeous weight  cut and style! the button detail is adorable and the fit of the sweater is fantastic. the hem style  (not sure what you would call it)  is incredibly flattering for an hourglass figure. i am 5'4  133 and 34dd. fit is tts  maybe a bit large but nothing crazy. love,Fine gauge
1,I absolutely love this sweater. it's soft  and delicate. i bought a green one which flatters my skin tone. i feel that i can wear it for three seasons  except summer... lol  it runs a bit large. i normally wear size medium for tops from retailer  but the size s of this sweater fits better than size m. the sleeves are bit long than other sweaters  but i think that's the style  as shown on the model.  if you like feminine and romantic tops/sweaters  you will like this piece. :),Fine gauge
1,"Love this sweater! it's really flattering  long and lean  though not tight  just the right amount of shape and length for my size. i run between and 8 and a 10  and i'm about 5'8""  i ordered the medium. i love the contrasting knits of the sleeves and body of the sweater. i only wish it came in more colors  i'd order it again!",Fine gauge
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,When ordering this product  i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however  these run small and i see why the medium ran out. they are pretty  however  i wish they made them more true to size.,Intimates
0,If your hips are bigger than a size 6 us you can't fully close this robe. the model must be wearing the larger of the two sizes to have such a nice oversized fit. the fabric is soft and lux and amazing  but the weird dart in the back and the closure is right over my sadly size 8 hips and butt. if i was taller and thinner i would have kept this and worn it every day.,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
1,Great style and cut  love the deep v. the fabric is soft and its very comfortable. it gives some support. i don't wear it with light blouses or shirts  unless i'm hanging around the house. i have this is pink and black.,Intimates
1,This is my first time purchasing a bra from this brand and i am in love. the style and quality are amazing. it is the most comfortable bra i owned to date and i will be buying more from this line. it provides a lift without all of the uncomfortable padding which requires continuous adjusting. i am saying goodbye to vs forever. i got this in red and the bra looks more expensive than it actually is and the fit is simply amazing.it is sexy and classic at the same time.,Intimates
1,This bra is the one. i have been searching high and low to replace my worn out comfy bra  and this is it. if you are looking for a wireless bra with thin straps that can peek out from your shirt and not announce themselves as hello bra straps  a v-neck cut (none of that scoop cut nonsense)  and you don't care about trying to boost your cleavage  this bra has it all. so comfy too.,Intimates
1,I absolutely adore this set. it's beautifully constructed-- perfect for something special but comfortable enough for everyday wear. i normally wear a 32 c but got the 34 a/b and it fits perfectly. my only complaint is that the longline portion tends to ride up and rest just below the underwire  as there is no band holding the lace in place along the bottom. still  it is far and away my favourite bra and i highly recommend it.,Intimates
1,I know it's a bit of a moot point since the chemise has sold out - but on the off chance any come back in stock  or if you see one at your local store - i urge you to try it on! the fabric is incredible. so luxurious. it fits me amazingly. i have a hard time with the whole tight chemise/slip/nightie category of clothing  as i'm fairly skinny  but still curvy  and while i love my curves  i do have a muffin top that can get real awkward when you're trying to look sexy. this  however  is a godsend.,Intimates
1,Hands down most comfortable bra ever!,Intimates
1,Yes  this is a thinner bra  it's almost sheer when you hold it up to the light  but it fit perfectly (36d) and is seamless under even the thinnest tops. i love that its not padded  i feel like it just slightly enhances my natural shape without adding anything more  and i really wish i had bought multiples before they sold out! i can't speak to how it will hold up since i just got it yesterday and i'm wearing it for the first time today  but i'm keeping my fingers crossed that it will last as wel,Intimates
1,A finely laced sheer bustier along with a gown split along the sides makes for a lovely sleeping garment. the material is cooling and the lace is not itchy.,Intimates
1,True to size  very pretty.  as pictured expect that it is more peachy and not this light.  i like it and will keep it but just be aware that it is not a pale pink as in the picture.,Intimates
-1,Should have listened 2 a previous review! while this is a very well made garment  it really does remind me of a bathrobe  and will be returning :( too bad because the fabric and stripes are really great. also...this runs very large. the extra small was more like a medium.,Jackets
-1,I was so excited for this kimono. i thought the colors would be lovely. i was looking for a unique wrap/vest/kimono. i ordered this online expecting to be dazzled. sadly  i was not. this arrived and fell short on all measures. the colors were flat  the fabric felt cheap and the construction did not scream $108. it felt like something i would find in a college import/head shop. back it went. i ended up buying the silves wrap  which i love.,Jackets
-1,Loved the design but jacket looked like 20 years old because of a lot of piling even brand new jacket at store. i wish they use better quality fabric so i would have purchased it.,Jackets
-1,This jacket has cute details. i like the front pockets and color. it has no shape and is about 1 size bigger than marked. i felt like a sack of potatoes in it.,Jackets
-1,I was hoping that this would be a nice neutral layering staple but it simply leaves a lot to be desired. it fits tts  length is fine...the inside is some  but the outside darker material is stiff and cheap (kinda canvas feeling?). the material is super stiff which makes it flare out like like a tent in a super unflattering way. it also is on the thinnish side - it looks in the model shot like it would be a little thicker and warm. this is definitely going back.,Jackets
-1,Does not look like the picture. lined with a cheap denim fabric inside that shows when arms are rolled up. i normally always fit in mediums and this jacket is so small in the arms as well as body that it fit like a xs.,Jackets
-1,1. this looks so cute on the model  doesn't it? i have no idea where you wear a suit with hot pants  but it looks cute.  2. that said  keep in mind the model is probably 6 feet 10 inches tall. i'm 5 feet 6 inches tall  and this jacket came down to my knees. i'm not kidding. the 3/4 length sleeves were at my wrist  so more like 7/8 sleeves.  3. i'm normally a size 12 in cartonnier jackets  but this only comes s  m or l. the medium is really a size 10  which was too tight across the shoulders and,Jackets
-1,Beautiful fabric! unfortunately  i had to return it. after just one wear  it had pills all over the side. fabric is too delicate. sad to return!,Jackets
-1,I feel in love with this piece. the color are gorgeous and i received so many compliments. it lifted my mood just wearing it! sadly  ut the end of the first wear i had a run up the front and by the middle of the second wear the light fabric got caught on something and a hole developed. upon further inspection i found another hole at the top where the price tag must have been attached. i also noticed all over pilling after the first wear! so sad! they should recreate this in a heavy fabric.,Jackets
0,This blazer is a nice weight for summer. it is more terracotta than rose  but is still a nice color. the fit is tts and flattering. however  the buttons were almost falling off the one i received. i didn't take this as a sign of great quality and plan to return it.,Jackets
0,Ordered this vest in both the xs and pxs. i liked the length and overall fit of the xs  however  i ended up returning both due to how the vest draped. the outer fabric is a bit more stiff which made the vest balloon out more then what i liked. overall  it?s not a terrible vest but just not for me.,Jackets
0,First  the good: i like the basic shape of the jacket  with its crisply cut lapels  and rounded corners at the bottom...the functional pockets (including the  cool watch pocket)  the size of the buttons  the color. i got the honey   and it was lovely and intense . now  the bad:  i got the regular 8. the jacket is at least an inch too short. although it's  a small  tight 8  the sleeves are strikingly too long. they would have to  be folded  and the lining which would show is not that attractive.,Jackets
0,This design looks really sharp on the image  but in reality this jacket felt more like a jacket you would get at forever xxi.  the fabric had that polyester/shiny quality to it that made it look cheap.  since the fabric was pretty soft  with a gray jersey lining  it felt more like a padded jacket than a constructed blazer.      i also thought the cut was small if you have a bust larger than a b  i felt like i was busting out of a size 8  and i am a 34d.,Jackets
0,The material is so soft and cozy. there is just enough padding to keep me warm all year round in southern california. but  i ended up leaving the store without this vest  bc 1)the cut is slightly boxy.  2) every vest had different color variations. you definitely should go into the store to check it out. the ones i saw made the vest have cheap pattern of wide stripes  not an even vintage fade as shown. i'm so sad as everything else is perfect. fits true to size,Jackets
0,The jacket is cute  it runs small but looks good. i like it even though it feels tight on my arms.,Jackets
